x_min, x_max, y_min, y_max, z_min, z_max, position_increment, sphere_pts, orientation_num, 
-0.2,0.7,-1,1,-0.2,1.5,0.1,50,20,
x, y, z, qx, qy, qz, qw, j1, j2, j3, j4, j5, j6, j7, 
-0.2,-0.1,0,-0.0287899,-0.330411,-0.198548,0.922268,-0.521905,0.113512,1.31243,0.893172,-0.178448,0.133961,0.570047,
-0.2,-0.1,0,0.240912,-0.109369,-0.658095,0.704919,-0.457044,0.207111,1.3962,0.896527,-0.0129564,-1.19827,0.554705,
-0.2,-1.38778e-16,-0.1,-0.116554,0.704567,0.62546,-0.314325,-0.509311,0.0737062,1.14488,0.670115,1.54459,-0.225387,0.430201,
-0.2,-1.38778e-16,-0.1,0.286015,-0.606791,-0.2493,0.698462,-0.437676,0.0305032,1.3962,0.590557,0.304323,0.186566,-0.238892,
-0.2,-1.38778e-16,-0.1,0.240912,-0.109369,-0.658095,0.704919,-0.346093,0.130938,1.3962,0.503902,0.0136705,-0.749305,0.697565,
-0.2,-1.38778e-16,0,-0.0287899,-0.330411,-0.198548,0.922268,-0.514261,-0.198351,1.36828,1.17616,-0.2735,0.154197,0.567379,
-0.2,-1.38778e-16,0,0.240912,-0.109369,-0.658095,0.704919,-0.474368,-0.116413,1.3962,1.23822,0.00443407,-1.21839,0.60935,
-0.2,-1.38778e-16,0.6,0.512994,0.653328,-0.137939,0.539419,3.11491,0.0432827,0.781872,2.03138,-0.254378,0.00452792,-0.259014,
-0.2,-1.38778e-16,0.6,0.30112,0.734389,0.297968,0.530297,3.13801,0.0716761,0.642252,1.91949,-0.808819,-0.0127703,0.758318,
-0.2,-1.38778e-16,0.6,0.549896,0.218207,-0.0961681,0.80047,3.09271,0.105689,0.670176,1.91158,0.691876,0.588662,-0.258674,
-0.2,-1.38778e-16,0.6,0.0988827,-0.014907,0.0111632,0.994925,3.13891,0.132111,0.530556,2.00959,0.9561,0.934847,0.672223,
-0.2,-1.38778e-16,0.7,-0.135742,0.975487,0.0644285,0.160776,3.11631,0.0561374,0.530556,1.6876,-0.781539,-1.23897,0.754439,
-0.2,-1.38778e-16,0.7,0.512994,0.653328,-0.137939,0.539419,3.04671,-0.0125483,0.753948,1.71199,-0.283876,0.38973,-0.11998,
-0.2,-1.38778e-16,0.7,-0.0214381,0.556364,-0.50836,0.65694,3.13056,-0.0401673,0.809796,1.86528,0.592422,-0.860127,0.339723,
-0.2,-1.38778e-16,0.7,0.0988827,-0.014907,0.0111632,0.994925,3.1282,-0.031927,0.642252,1.70314,1.46588,0.943148,-0.0671126,
-0.2,-1.38778e-16,0.8,0.512994,0.653328,-0.137939,0.539419,2.95086,0.222555,0.363012,1.28092,-0.272846,0.656097,0.4219,
-0.2,-1.38778e-16,0.8,-0.0214381,0.556364,-0.50836,0.65694,3.12836,-0.0650341,0.83772,1.49378,0.400688,-0.527786,0.0641951,
