x_min, x_max, y_min, y_max, z_min, z_max, position_increment, sphere_pts, orientation_num, 
-0.2,0.7,-1,1,-0.2,1.5,0.1,50,20,
x, y, z, qx, qy, qz, qw, j1, j2, j3, j4, j5, j6, j7, 
-0.2,-0.7,0.3,0.485216,0.809052,0.212872,-0.254334,2.38992,1.56819,1.3962,0.85742,-0.995461,0.504206,-0.1018,
-0.2,-0.7,0.3,0.512994,0.653328,-0.137939,0.539419,2.32656,1.55315,1.3962,0.871244,0.873711,0.0621833,-0.287669,
-0.2,-0.7,0.4,0.485216,0.809052,0.212872,-0.254334,1.91424,1.45109,1.3962,0.96094,-0.787919,0.226671,0.158652,
-0.2,-0.7,0.4,0.237461,0.879552,-0.0269431,-0.411429,1.96834,1.4796,1.3962,1.04811,-0.967458,-0.063312,-0.667732,
-0.2,-0.7,0.4,0.512994,0.653328,-0.137939,0.539419,1.81985,1.46002,1.3962,0.953102,1.1542,0.400957,-0.0910388,
-0.2,-0.7,0.4,-0.497779,-0.492155,0.139203,0.700444,2.07414,1.56939,1.3962,0.863187,-1.27945,1.17693,-0.627058,
-0.2,-0.7,0.5,0.485216,0.809052,0.212872,-0.254334,3.1304,1.13364,0.6981,0.909766,-1.41999,0.40989,0.19861,
-0.2,-0.7,0.5,0.237461,0.879552,-0.0269431,-0.411429,1.41828,1.50675,1.3962,1.02455,-0.569503,-0.373288,-0.337277,
-0.2,-0.7,0.5,0.512994,0.653328,-0.137939,0.539419,3.13733,1.13038,0.642252,0.879859,0.564908,0.356365,-0.296464,
-0.2,-0.7,0.5,-0.497779,-0.492155,0.139203,0.700444,1.55885,1.54769,1.3962,0.884127,-1.15519,0.807479,-0.377541,
-0.2,-0.7,0.6,0.237461,0.879552,-0.0269431,-0.411429,3.13736,1.08618,0.363012,0.846537,-1.37783,-0.126178,-0.37137,
-0.2,-0.7,0.6,-0.0214381,0.556364,-0.50836,0.65694,3.14114,1.14489,0.363012,0.768297,1.45594,-0.594758,0.0659849,
-0.2,-0.6,0,0.30112,0.734389,0.297968,0.530297,-0.52251,0.809016,-1.14488,0.222384,-0.348499,-0.107024,0.18884,
-0.2,-0.6,0,0.286015,-0.606791,-0.2493,0.698462,-0.494116,0.635316,1.3962,0.160031,0.386047,-0.00758953,-0.316578,
-0.2,-0.6,0,0.549896,0.218207,-0.0961681,0.80047,-0.460477,0.675128,1.3962,0.158584,-1.46664,0.0268719,-0.444179,
-0.2,-0.6,0.3,0.710471,0.667256,0.222215,-0.0249101,2.42553,1.4044,1.3962,1.33175,-0.363318,0.612013,-0.222379,
-0.2,-0.6,0.3,0.485216,0.809052,0.212872,-0.254334,2.44577,1.39706,1.3962,1.45,-0.896312,0.282768,-0.497849,
-0.2,-0.6,0.3,0.512994,0.653328,-0.137939,0.539419,2.38204,1.38202,1.3962,1.46076,0.84553,-0.243454,0.00772703,
-0.2,-0.6,0.3,0.549896,0.218207,-0.0961681,0.80047,2.93592,1.34261,0.893568,1.42824,1.47858,0.447225,0.0758472,
-0.2,-0.6,0.4,0.710471,0.667256,0.222215,-0.0249101,2.06718,1.29011,1.31243,1.40486,-0.472797,0.492846,0.24867,
-0.2,-0.6,0.4,0.485216,0.809052,0.212872,-0.254334,1.96769,1.27802,1.3962,1.53192,-0.812842,-0.0291509,-0.156339,
-0.2,-0.6,0.4,0.512994,0.653328,-0.137939,0.539419,1.8735,1.28716,1.3962,1.52569,0.996454,0.174018,0.260665,
-0.2,-0.6,0.4,0.549896,0.218207,-0.0961681,0.80047,2.81066,1.17367,0.809796,1.46468,1.48256,0.668512,-0.0379111,
-0.2,-0.6,0.5,-0.135742,0.975487,0.0644285,0.160776,3.0916,0.991355,0.55848,1.47549,-0.768023,-1.43621,-0.0591395,
-0.2,-0.6,0.5,0.710471,0.667256,0.222215,-0.0249101,2.91395,0.970149,0.83772,1.35267,-0.927872,0.734205,0.163303,
-0.2,-0.6,0.5,0.485216,0.809052,0.212872,-0.254334,3.13671,0.810402,0.921492,1.49067,-1.54006,0.509038,-0.195462,
-0.2,-0.6,0.5,0.237461,0.879552,-0.0269431,-0.411429,1.45309,1.37267,1.3962,1.55773,-0.764254,-0.675882,-0.646898,
-0.2,-0.6,0.5,0.700479,0.509244,-0.424114,0.264815,1.45228,1.36848,1.34035,1.30615,1.20372,0.639683,-0.62246,
-0.2,-0.6,0.5,0.512994,0.653328,-0.137939,0.539419,3.12053,0.801254,0.893568,1.46741,0.253395,-0.0107261,-0.276065,
-0.2,-0.6,0.5,0.549896,0.218207,-0.0961681,0.80047,3.10278,0.842066,0.753948,1.37699,1.27582,0.570729,-0.319108,
-0.2,-0.6,0.6,0.485216,0.809052,0.212872,-0.254334,2.98101,0.758945,0.753948,1.32426,-1.56018,0.246117,0.108113,
-0.2,-0.6,0.6,0.237461,0.879552,-0.0269431,-0.411429,2.88612,0.89847,0.55848,1.41399,-1.53183,-0.228541,-0.728457,
-0.2,-0.6,0.6,0.700479,0.509244,-0.424114,0.264815,2.68665,1.13797,0.41886,1.14194,0.82012,0.582222,-0.77221,
-0.2,-0.6,0.6,0.512994,0.653328,-0.137939,0.539419,3.13378,0.647526,0.865644,1.28271,0.155442,0.28762,-0.297837,
-0.2,-0.6,0.6,-0.497779,-0.492155,0.139203,0.700444,1.12601,1.51037,1.3962,1.36074,-0.856879,0.249141,-0.55503,
-0.2,-0.6,0.6,-0.143417,-0.591127,0.78482,-0.118565,1.12159,1.53917,1.3962,1.18209,1.32576,-0.523521,-0.755881,
-0.2,-0.6,0.6,0.549896,0.218207,-0.0961681,0.80047,3.13731,0.706974,0.6981,1.15701,1.37142,0.706816,-0.650655,
-0.2,-0.6,0.7,0.237461,0.879552,-0.0269431,-0.411429,2.99768,0.782362,0.390936,1.13506,-1.5602,-0.343529,-0.449299,
-0.2,-0.6,0.7,0.700479,0.509244,-0.424114,0.264815,3.01754,1.05083,-0.055848,0.805276,0.833161,0.874676,-0.779311,
-0.2,-0.6,0.7,0.512994,0.653328,-0.137939,0.539419,3.13792,0.633816,0.6981,0.942376,0.169138,0.655164,-0.190604,
-0.2,-0.6,0.7,-0.497779,-0.492155,0.139203,0.700444,3.13843,1.3324,-0.642252,1.11731,-1.03792,0.201669,-0.465397,
-0.2,-0.6,0.7,-0.0214381,0.556364,-0.50836,0.65694,3.13326,0.638743,0.753948,1.12381,0.922696,-0.670624,0.122822,
-0.2,-0.5,0,0.512994,0.653328,-0.137939,0.539419,-0.469541,0.974323,-1.36828,0.889688,0.436544,-0.804046,-0.378712,
-0.2,-0.5,0.2,0.710471,0.667256,0.222215,-0.0249101,2.686,1.56919,1.3962,1.58424,-0.206728,0.280858,-0.628043,
-0.2,-0.5,0.3,0.710471,0.667256,0.222215,-0.0249101,2.42716,1.33649,1.3962,1.78019,-0.315724,0.252014,-0.363067,
-0.2,-0.5,0.3,0.700479,0.509244,-0.424114,0.264815,2.48049,1.37297,1.3962,1.70866,0.915922,-0.47972,-0.775444,
-0.2,-0.5,0.3,0.512994,0.653328,-0.137939,0.539419,2.75133,1.31941,1.11696,1.87698,0.855427,-0.565367,0.253664,
